CAR-1A,CAR-1B,Acccleration
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,23.3,0.2796
0,26.8,0.3216
0,26.8,0.3216
0,26.8,0.3216
0,26.8,0.3216
0,26.8,0.3216
0,26.8,0.3216
28.33,26.8,-0.01836
28.33,26.8,-0.01836
28.33,26.8,-0.01836
28.33,26.8,-0.01836
28.33,26.8,-0.01836
28.33,26.8,-0.01836
28.33,33.7,0.06444
28.33,33.7,0.06444
28.33,33.7,0.06444
28.33,33.7,0.06444
28.33,33.7,0.06444
28.33,33.7,0.06444
28.33,33.7,0.06444
0,33.7,0.4044
0,33.7,0.4044
0,33.7,0.4044
0,33.7,0.4044
0,33.7,0.4044
0,33.7,0.4044
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
